PERSONID,RECORDACTIVITYDATE,TESTSCORE,TESTSCORETYPERAW,TESTDATE
167,12/14/2007 15:34:00,1587,SATC,05/19/2004 11:46:06
167,12/14/2007 15:34:00,25,A02,02/19/2004 11:46:06
167,12/14/2007 15:34:00,554,S07,05/19/2004 11:46:06
167,12/14/2007 15:34:00,31,A04,02/19/2004 11:46:06
167,12/14/2007 15:34:00,629,S02,05/19/2004 11:46:06
167,12/14/2007 15:34:00,26,A03,02/19/2004 11:46:06
167,12/14/2007 15:34:00,28,A05,02/19/2004 11:46:06
167,12/14/2007 15:34:00,404,S01,05/19/2004 11:46:06
167,12/14/2007 15:34:00,32,A01,02/19/2004 11:46:06
200,12/14/2007 15:34:00,28,A01,03/28/1995 00:00:00
200,12/14/2007 15:34:00,33,A02,03/28/1995 00:00:00
200,12/14/2007 15:34:00,29,A05,03/28/1995 00:00:00
200,12/14/2007 15:34:00,33,A03,03/28/1995 00:00:00
200,12/14/2007 15:34:00,24,A04,03/28/1995 00:00:00
214,12/14/2007 15:34:00,532,S01,03/28/1995 00:00:00
214,12/14/2007 15:34:00,1485,SATC,03/28/1995 00:00:00
214,12/14/2007 15:34:00,430,S07,03/28/1995 00:00:00
214,12/14/2007 15:34:00,523,S02,03/28/1995 00:00:00
215,08/01/1995 00:00:00,630,S01,01/15/1994 00:00:00
215,08/01/1995 00:00:00,650,S02,01/15/1995 00:00:00
216,12/14/2007 15:34:00,18,A01,03/28/1995 00:00:00
216,12/14/2007 15:34:00,28,A02,03/28/1995 00:00:00
216,12/14/2007 15:34:00,29,A04,03/28/1995 00:00:00
216,12/14/2007 15:34:00,35,A03,03/28/1995 00:00:00
216,12/14/2007 15:34:00,1645,SATC,06/26/1995 00:00:00
216,12/14/2007 15:34:00,733,S01,06/26/1995 00:00:00
216,12/14/2007 15:34:00,432,S02,06/26/1995 00:00:00
216,12/14/2007 15:34:00,480,S07,06/26/1995 00:00:00
216,12/14/2007 15:34:00,27,A05,03/28/1995 00:00:00
217,08/01/1995 00:00:00,25,A03,01/15/1995 00:00:00
217,08/01/1995 00:00:00,25,A04,01/15/1995 00:00:00
217,08/01/1995 00:00:00,24,A02,01/15/1995 00:00:00
217,08/01/1995 00:00:00,25,A01,01/15/1995 00:00:00
217,08/01/1995 00:00:00,26,A05,01/15/1995 00:00:00
218,12/14/2007 15:34:00,19,A02,03/28/1995 00:00:00
218,12/14/2007 15:34:00,21,A04,03/28/1995 00:00:00
218,12/14/2007 15:34:00,23,A01,03/28/1995 00:00:00
218,12/14/2007 15:34:00,20,A05,03/28/1995 00:00:00
218,12/14/2007 15:34:00,19,A03,03/28/1995 00:00:00
219,12/14/2007 15:34:00,943,LSAT,03/28/1995 00:00:00
220,12/14/2007 15:34:00,626,LSAT,03/28/1995 00:00:00
221,12/14/2007 15:34:00,657,S01,03/28/1995 00:00:00
221,12/14/2007 15:34:00,1712,SATC,03/28/1995 00:00:00
221,12/14/2007 15:34:00,530,S07,03/28/1995 00:00:00
221,12/14/2007 15:34:00,525,S02,03/28/1995 00:00:00
222,12/14/2007 15:34:00,28,A01,03/28/1995 00:00:00
222,12/14/2007 15:34:00,27,A02,03/28/1995 00:00:00
222,12/14/2007 15:34:00,27,A04,03/28/1995 00:00:00
222,12/14/2007 15:34:00,27,A03,03/28/1995 00:00:00
222,12/14/2007 15:34:00,1635,SATC,06/26/1995 00:00:00
222,12/14/2007 15:34:00,419,S01,06/26/1995 00:00:00
222,12/14/2007 15:34:00,457,S02,06/26/1995 00:00:00
222,12/14/2007 15:34:00,759,S07,06/26/1995 00:00:00
222,12/14/2007 15:34:00,27,A05,03/28/1995 00:00:00
223,08/01/1995 00:00:00,670,S02,01/05/1995 00:00:00
223,08/01/1995 00:00:00,650,S01,01/15/1995 00:00:00
224,12/14/2007 15:34:00,26,A01,03/30/1995 00:00:00
224,12/14/2007 15:34:00,31,A02,03/30/1995 00:00:00
224,12/14/2007 15:34:00,30,A05,03/30/1995 00:00:00
224,12/14/2007 15:34:00,32,A03,03/30/1995 00:00:00
224,12/14/2007 15:34:00,34,A04,03/30/1995 00:00:00
225,02/12/2002 00:00:00,525,S02,06/06/1995 00:00:00
225,02/12/2002 00:00:00,550,S01,06/06/1995 00:00:00
226,12/14/2007 15:34:00,426,S01,03/30/1995 00:00:00
226,12/14/2007 15:34:00,1709,SATC,03/30/1995 00:00:00
226,12/14/2007 15:34:00,629,S07,03/30/1995 00:00:00
226,12/14/2007 15:34:00,654,S02,03/30/1995 00:00:00
227,12/14/2007 15:34:00,23,A01,03/30/1995 00:00:00
227,12/14/2007 15:34:00,27,A02,03/30/1995 00:00:00
227,12/14/2007 15:34:00,26,A04,03/30/1995 00:00:00
227,12/14/2007 15:34:00,30,A03,03/30/1995 00:00:00
227,12/14/2007 15:34:00,2199,SATC,06/28/1995 00:00:00
227,12/14/2007 15:34:00,724,S01,06/28/1995 00:00:00
227,12/14/2007 15:34:00,729,S02,06/28/1995 00:00:00
227,12/14/2007 15:34:00,746,S07,06/28/1995 00:00:00
227,12/14/2007 15:34:00,26,A05,03/30/1995 00:00:00
228,02/12/2002 00:00:00,600,S02,06/06/1995 00:00:00
228,02/12/2002 00:00:00,600,S01,06/06/1995 00:00:00
229,12/14/2007 15:34:00,24,A01,03/30/1995 00:00:00
229,12/14/2007 15:34:00,24,A02,03/30/1995 00:00:00
229,12/14/2007 15:34:00,26,A05,03/30/1995 00:00:00
229,12/14/2007 15:34:00,35,A03,03/30/1995 00:00:00
229,12/14/2007 15:34:00,23,A04,03/30/1995 00:00:00
230,12/14/2007 15:34:00,756,S01,03/30/1995 00:00:00
230,12/14/2007 15:34:00,1681,SATC,03/30/1995 00:00:00
230,12/14/2007 15:34:00,401,S07,03/30/1995 00:00:00
230,12/14/2007 15:34:00,524,S02,03/30/1995 00:00:00
231,02/12/2002 00:00:00,600,S02,06/06/1995 00:00:00
231,02/12/2002 00:00:00,560,S01,06/06/1995 00:00:00
232,08/01/1995 00:00:00,25,A01,01/15/1995 00:00:00
232,08/01/1995 00:00:00,25,A02,01/15/1995 00:00:00
232,08/01/1995 00:00:00,25,A05,01/15/1995 00:00:00
232,08/01/1995 00:00:00,25,A04,01/15/1995 00:00:00
232,08/01/1995 00:00:00,25,A03,01/15/1995 00:00:00
233,12/14/2007 15:34:00,23,A02,03/30/1995 00:00:00
233,12/14/2007 15:34:00,19,A01,03/30/1995 00:00:00
233,12/14/2007 15:34:00,34,A04,03/30/1995 00:00:00
233,12/14/2007 15:34:01,560,S02,06/28/1995 00:00:00
233,12/14/2007 15:34:01,752,S07,06/28/1995 00:00:00
233,12/14/2007 15:34:01,434,S01,06/28/1995 00:00:00
233,12/14/2007 15:34:01,1746,SATC,06/28/1995 00:00:00
233,12/14/2007 15:34:01,35,A03,03/30/1995 00:00:00
233,12/14/2007 15:34:01,27,A05,03/30/1995 00:00:00
234,02/12/2002 00:00:00,500,S02,06/06/1995 00:00:00
234,02/12/2002 00:00:00,500,S01,06/06/1995 00:00:00
235,12/14/2007 15:34:01,34,A01,03/30/1995 00:00:00
235,12/14/2007 15:34:01,26,A02,03/30/1995 00:00:00
235,12/14/2007 15:34:01,27,A05,03/30/1995 00:00:00
235,12/14/2007 15:34:01,27,A03,03/30/1995 00:00:00
235,12/14/2007 15:34:01,21,A04,03/30/1995 00:00:00
236,12/14/2007 15:34:01,892,LSAT,03/30/1995 00:00:00
236,12/14/2007 15:34:01,586,S01,02/12/2002 00:00:00
236,12/14/2007 15:34:01,1588,SATC,02/12/2002 00:00:00
236,12/14/2007 15:34:01,408,S07,02/12/2002 00:00:00
236,12/14/2007 15:34:01,594,S02,02/12/2002 00:00:00
237,02/12/2002 00:00:00,500,S02,06/06/1995 00:00:00
237,02/12/2002 00:00:00,500,S01,06/06/1995 00:00:00
238,02/12/2002 00:00:00,550,S02,06/06/1995 00:00:00
238,02/12/2002 00:00:00,500,S01,06/06/1995 00:00:00
239,12/14/2007 15:34:01,26,A01,03/30/1995 00:00:00
239,12/14/2007 15:34:01,29,A02,03/30/1995 00:00:00
239,12/14/2007 15:34:01,26,A04,03/30/1995 00:00:00
239,12/14/2007 15:34:01,33,A03,03/30/1995 00:00:00
239,12/14/2007 15:34:01,28,A05,03/30/1995 00:00:00
239,12/14/2007 15:34:01,603,S01,06/28/1995 00:00:00
239,12/14/2007 15:34:01,764,S02,06/28/1995 00:00:00
239,12/14/2007 15:34:01,757,S07,06/28/1995 00:00:00
239,12/14/2007 15:34:01,2124,SATC,06/28/1995 00:00:00
240,02/12/2002 00:00:00,500,S01,06/06/1995 00:00:00
240,02/12/2002 00:00:00,600,S02,06/06/1995 00:00:00
241,08/01/1995 00:00:00,530,S01,01/15/1995 00:00:00
241,08/01/1995 00:00:00,500,S02,01/15/1995 00:00:00
242,08/01/1995 00:00:00,500,S01,01/15/1995 00:00:00
242,08/01/1995 00:00:00,520,S02,01/15/1994 00:00:00
243,12/14/2007 15:34:01,20,A02,03/30/1995 00:00:00
243,12/14/2007 15:34:01,30,A03,03/30/1995 00:00:00
243,12/14/2007 15:34:01,24,A05,03/30/1995 00:00:00
243,12/14/2007 15:34:01,30,A01,03/30/1995 00:00:00
243,12/14/2007 15:34:01,18,A04,03/30/1995 00:00:00
244,08/01/1995 00:00:00,530,S02,01/15/1995 00:00:00
244,08/01/1995 00:00:00,560,S01,01/15/1995 00:00:00
245,02/12/2002 00:00:00,700,S02,06/06/1995 00:00:00
245,02/12/2002 00:00:00,700,S01,06/06/1995 00:00:00
246,12/14/2007 15:34:01,1848,SATC,03/30/1995 00:00:00
246,12/14/2007 15:34:01,629,S02,03/30/1995 00:00:00
246,12/14/2007 15:34:01,658,S01,03/30/1995 00:00:00
246,12/14/2007 15:34:01,561,S07,03/30/1995 00:00:00
247,02/13/2002 00:00:00,700,S01,06/06/1995 00:00:00
247,02/13/2002 00:00:00,700,S02,06/06/1995 00:00:00
248,08/01/1995 00:00:00,540,S01,01/15/1995 00:00:00
248,08/01/1995 00:00:00,520,S02,01/15/1995 00:00:00
249,08/01/1995 00:00:00,620,S01,01/15/1995 00:00:00
249,08/01/1995 00:00:00,630,S02,01/15/1995 00:00:00
250,08/01/1995 00:00:00,620,S02,01/15/1995 00:00:00
250,08/01/1995 00:00:00,610,S01,01/15/1995 00:00:00
251,02/13/2002 00:00:00,500,S01,06/06/1995 00:00:00
251,02/13/2002 00:00:00,600,S02,06/06/1995 00:00:00
252,12/14/2007 15:34:01,26,A04,02/12/2002 00:00:00
252,12/14/2007 15:34:01,745,S02,05/13/2002 00:00:00
252,12/14/2007 15:34:01,32,A03,02/12/2002 00:00:00
252,12/14/2007 15:34:01,910,LSAT,03/28/1995 00:00:00
252,12/14/2007 15:34:01,1837,SATC,05/13/2002 00:00:00
252,12/14/2007 15:34:01,576,S01,05/13/2002 00:00:00
252,12/14/2007 15:34:01,26,A05,02/12/2002 00:00:00
252,12/14/2007 15:34:01,20,A02,02/12/2002 00:00:00
252,12/14/2007 15:34:01,27,A01,02/12/2002 00:00:00
252,12/14/2007 15:34:01,516,S07,05/13/2002 00:00:00
253,08/01/1995 00:00:00,490,S02,01/15/1995 00:00:00
253,08/01/1995 00:00:00,500,S01,01/15/1995 00:00:00
254,02/13/2002 00:00:00,600,S01,06/06/1995 00:00:00
254,02/13/2002 00:00:00,600,S02,06/06/1995 00:00:00
255,02/12/2002 00:00:00,500,S01,06/06/1995 00:00:00
255,02/12/2002 00:00:00,600,S02,06/06/1995 00:00:00
256,02/13/2002 00:00:00,500,S01,06/06/1995 00:00:00
256,02/13/2002 00:00:00,500,S02,06/06/1995 00:00:00
257,02/12/2002 00:00:00,500,S02,05/05/1995 00:00:00
257,02/12/2002 00:00:00,700,S01,05/05/1995 00:00:00
258,02/12/2002 00:00:00,600,S02,06/06/1995 00:00:00
258,02/12/2002 00:00:00,600,S01,06/06/1995 00:00:00
259,08/01/1995 00:00:00,16,A05,01/15/1995 00:00:00
259,08/01/1995 00:00:00,17,A04,01/15/1995 00:00:00
259,08/01/1995 00:00:00,20,A03,01/15/1995 00:00:00
259,08/01/1995 00:00:00,19,A02,01/15/1995 00:00:00
259,08/01/1995 00:00:00,20,A01,01/15/1995 00:00:00
260,02/13/2002 00:00:00,600,S01,06/06/1995 00:00:00
260,02/13/2002 00:00:00,600,S02,06/06/1995 00:00:00
283,12/14/2007 15:34:01,712,GR03,12/23/2005 14:01:47
283,12/14/2007 15:34:01,3,GR05,12/23/2005 14:01:47
283,12/14/2007 15:34:01,788,GR02,12/23/2005 14:01:47
283,12/14/2007 15:34:01,684,GR01,12/23/2005 14:01:47
283,12/14/2007 15:34:01,546,GREC,12/23/2005 14:01:47
301,12/14/2007 15:34:01,32,A01,07/18/2005 17:50:58
301,12/14/2007 15:34:01,27,A05,07/18/2005 17:50:58
301,12/14/2007 15:34:01,21,A03,07/18/2005 17:50:58
301,12/14/2007 15:34:01,34,A04,07/18/2005 17:50:58
301,12/14/2007 15:34:01,23,A02,07/18/2005 17:50:58
328,07/03/1995 00:00:00,600,S01,01/15/1995 00:00:00
328,07/03/1995 00:00:00,610,S02,01/15/1995 00:00:00
329,12/14/2007 15:34:01,732,S01,07/06/1995 00:00:00
329,12/14/2007 15:34:01,516,S02,07/06/1995 00:00:00
329,12/14/2007 15:34:01,608,S07,07/06/1995 00:00:00
329,12/14/2007 15:34:01,1856,SATC,07/06/1995 00:00:00
347,02/15/2002 00:00:00,500,S02,08/08/2000 00:00:00
347,02/15/2002 00:00:00,500,S01,08/08/2000 00:00:00
353,07/06/1995 00:00:00,21,A03,01/15/1995 00:00:00
353,07/06/1995 00:00:00,23,A01,01/15/1995 00:00:00
353,07/06/1995 00:00:00,25,A02,01/15/1995 00:00:00
353,07/06/1995 00:00:00,19,A04,01/15/1995 00:00:00
354,07/06/1995 00:00:00,560,S02,01/15/1995 00:00:00
354,07/06/1995 00:00:00,550,S01,01/15/1995 00:00:00
355,07/06/1995 00:00:00,510,S02,03/15/1993 00:00:00
355,07/06/1995 00:00:00,500,S01,03/15/1993 00:00:00
356,07/03/1995 00:00:00,16,A04,01/15/1995 00:00:00
356,07/03/1995 00:00:00,18,A01,01/15/1995 00:00:00
356,07/03/1995 00:00:00,19,A02,01/15/1995 00:00:00
356,07/03/1995 00:00:00,18,A03,01/15/1995 00:00:00
357,07/06/1995 00:00:00,610,S02,07/15/1994 00:00:00
357,07/06/1995 00:00:00,600,S01,07/15/1994 00:00:00
358,07/03/1995 00:00:00,24,A01,01/15/1995 00:00:00
358,07/03/1995 00:00:00,21,A02,01/15/1995 00:00:00
358,07/03/1995 00:00:00,23,A03,01/15/1995 00:00:00
358,07/03/1995 00:00:00,22,A04,01/15/1995 00:00:00
359,07/06/1995 00:00:00,25,A04,01/15/1994 00:00:00
359,07/06/1995 00:00:00,26,A05,01/15/1994 00:00:00
359,07/06/1995 00:00:00,24,A02,01/15/1994 00:00:00
359,07/06/1995 00:00:00,25,A01,01/15/1994 00:00:00
359,07/06/1995 00:00:00,25,A03,01/15/1994 00:00:00
360,12/14/2007 15:34:01,939,LSAT,06/19/1995 00:00:00
361,12/14/2007 15:34:01,607,LSAT,07/06/1995 00:00:00
364,12/14/2007 15:34:01,18,A03,06/19/1995 00:00:00
364,12/14/2007 15:34:01,28,A05,06/19/1995 00:00:00
364,12/14/2007 15:34:01,32,A01,06/19/1995 00:00:00
364,12/14/2007 15:34:01,33,A02,06/19/1995 00:00:00
